what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420354492209
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354495712
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354496690
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354552066
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420354556522
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420354559073
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354559668
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354576201
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354587368
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354588972
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354599948
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420354608254
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420354610935
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354618513
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1420354627245
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420354632999
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354633417
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354639848
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354644301
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354647192
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354685989
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354693796
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354711289
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354724362
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1420354733837
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354738151
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354741842
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354742925
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420354816100
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1420354820023
