what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420362778018
started,bundle,com.adobe.flexbuilder.css.editor,4.7.0.349722,"com.adobe.flexbuilder.css.editor",1420362815676
started,bundle,com.adobe.flexide.codemodel.bridge,4.7.0.349722,"com.adobe.flexide.codemodel.bridge",1420362815806
started,bundle,com.adobe.flexbuilder.codemodel,4.7.0.349722,"com.adobe.flexbuilder.codemodel",1420362816244
opened,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420362816426
activated,editor,org.eclipse.wst.css.ui,1.0.702.v201211262010,"org.eclipse.wst.css.core.csssource.source",1420362816524
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420362819873
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420362823340
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420362824328
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1420363181291
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1420363183162
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.200.v201109042201,"org.eclipse.jst.ws.jaxws.dom.integration",1420363183194
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1420363183225
started,bundle,org.eclipse.jst.servlet.ui,1.1.600.v201202011057,"org.eclipse.jst.servlet.ui",1420363183350
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.601.v201210040812,"org.eclipse.jst.j2ee.ejb",1420363183350
started,bundle,org.eclipse.jst.j2ee.jca,1.1.600.v201111012200,"org.eclipse.jst.j2ee.jca",1420363183381
started,bundle,org.eclipse.jst.jee,1.0.501.v201301091334,"org.eclipse.jst.jee",1420363183397
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1420363183412
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1420363183444
started,bundle,com.adobe.flexbuilder.project.ui,4.7.0.349722,"com.adobe.flexbuilder.project.ui",1420363183537
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.400.v201201111717,"org.eclipse.wst.ws.service.policy.ui",1420363191070
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1420363191086
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1420363191133
